,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2021,NFL,Minnesota Vikings,6,7,0,2nd of 4,,344,333,11,Zimmer,,Cousins,Cook,Jefferson,11,3,25,29,8,18,18,32,0.8,0.0,0.8,3.4,-2.6
2020,NFL,Minnesota Vikings,7,9,0,3rd of 4,,430,475,-45,Zimmer,Cousins,Cousins,Cook,Jefferson,11,4,29,27,20,22,15,32,-2.8,0.4,-2.4,1.3,-3.8
2019,NFL,Minnesota Vikings*,10,6,0,2nd of 4,Lost Div,407,303,104,Zimmer,Kendricks,Cousins,Cook,Diggs,8,16,5,14,5,7,13,32,6.5,-1.1,5.4,2.5,2.9
2018,NFL,Minnesota Vikings,8,7,1,2nd of 4,,360,341,19,Zimmer,Hunter,Cousins,Cook,Thielen,19,20,9,4,19,12,7,32,1.2,-0.6,0.6,-1.2,1.8
2017,NFL,Minnesota Vikings*,13,3,0,1st of 4,Lost Conf,382,252,130,Zimmer,Griffen,Keenum,Murray,Thielen,10,11,1,1,12,5,1,32,8.1,1.0,9.1,2.3,6.8
2016,NFL,Minnesota Vikings,8,8,0,3rd of 4,,327,307,20,Zimmer,Griffen,Bradford,McKinnon,Thielen,23,28,6,3,4,15,18,32,1.3,-0.3,0.9,-2.6,3.6
2015,NFL,Minnesota Vikings*,11,5,0,1st of 4,Lost WC,365,302,63,Zimmer,Bridgewater,Bridgewater,Peterson,Diggs,16,29,5,13,10,9,21,32,3.9,1.9,5.8,1.1,4.7
2014,NFL,Minnesota Vikings,7,9,0,3rd of 4,,325,343,-18,Zimmer,Griffen,Bridgewater,Asiata,Jennings,20,27,11,14,18,18,24,32,-1.1,-0.5,-1.7,-2.8,1.1
2013,NFL,Minnesota Vikings,5,10,1,4th of 4,,391,480,-89,Frazier,Peterson,Cassel,Peterson,Jennings,14,13,32,31,28,23,29,32,-5.6,-1.1,-6.6,0.2,-6.9
2012,NFL,Minnesota Vikings*,10,6,0,2nd of 4,Lost WC,379,348,31,Frazier,Peterson,Ponder,Peterson,Harvin,14,20,14,16,17,13,19,32,1.9,1.4,3.4,1.6,1.8
2011,NFL,Minnesota Vikings,3,13,0,4th of 4,,340,449,-109,Frazier,Allen,Ponder,Peterson,Harvin,19,18,31,21,19,28,24,32,-6.8,1.1,-5.7,-1.6,-4.1
2010,NFL,Minnesota Vikings,6,10,0,4th of 4,,281,348,-67,FrazierChildress,Peterson,Favre,Peterson,Harvin,29,23,18,8,29,25,17,32,-4.2,2.6,-1.6,-3.3,1.7
2009,NFL,Minnesota Vikings*,12,4,0,1st of 4,Lost Conf,470,312,158,Childress,Hutchinson,Favre,Peterson,Rice,2,5,10,6,8,3,4,32,9.9,-2.7,7.2,6.6,0.6
2008,NFL,Minnesota Vikings*,10,6,0,1st of 4,Lost WC,379,333,46,Childress,Allen,Frerotte,Peterson,Berrian,12,17,13,6,24,13,9,32,2.9,1.2,4.0,1.1,2.9
2007,NFL,Minnesota Vikings,8,8,0,2nd of 4,,365,311,54,Childress,Williams,Jackson,Peterson,Wade,15,13,12,20,13,10,18,32,3.4,0.4,3.8,1.4,2.4
2006,NFL,Minnesota Vikings,6,10,0,3rd of 4,,282,327,-45,Childress,Williams,Johnson,Taylor,Taylor,26,23,14,8,10,22,15,32,-2.8,-1.3,-4.1,-3.7,-0.4
2005,NFL,Minnesota Vikings,9,7,0,2nd of 4,,306,344,-38,Tice,Sharper,Johnson,Moore,Taylor,19,25,19,21,12,19,27,32,-2.4,-1.1,-3.5,-1.4,-2.1
