,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year▼,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1993,NFL,Phoenix Cardinals,7,9,0,4th of 5,,326,269,57,Bugel,Beuerlein,Beuerlein,Moore,Proehl,9,8,7,21,21,8,14,28,3.6,0.4,3.9,1.9,2.1
1992,NFL,Phoenix Cardinals,4,12,0,5th of 5,,243,332,-89,Bugel,Chandler,Chandler,Johnson,Hill,24,17,20,24,26,23,19,28,-5.6,2.5,-3.1,-2.9,-0.1
1991,NFL,Phoenix Cardinals,4,12,0,5th of 5,,196,344,-148,Bugel,McDonald,Tupa,Johnson,Jones,27,27,22,16,14,24,27,28,-9.3,3.8,-5.4,-4.9,-0.5
1990,NFL,Phoenix Cardinals,5,11,0,5th of 5,,268,396,-128,Bugel,Rosenbach,Rosenbach,Johnson,Proehl,24,18,24,18,22,26,19,28,-8.0,1.3,-6.7,-1.9,-4.8
1989,NFL,Phoenix Cardinals,5,11,0,4th of 5,,258,377,-119,StallingsKuhlmann,McDonald,Hogeboom,Ferrell,Jones,25,25,20,26,25,25,25,28,-7.4,0.3,-7.1,-4.0,-3.1
1988,NFL,Phoenix Cardinals,7,9,0,4th of 5,,344,398,-54,Stallings,Sharpe,Lomax,Ferrell,Green,11,4,27,14,22,19,7,28,-3.4,0.2,-3.2,0.5,-3.7
1987,NFL,St. Louis Cardinals,7,8,0,3rd of 5,,362,368,-6,Stallings,Lomax,Lomax,Mitchell,Smith,7,6,23,25,10,14,15,28,-0.4,-0.5,-0.9,2.2,-3.1
1986,NFL,St. Louis Cardinals,4,11,1,5th of 5,,218,351,-133,Stallings,Smith,Lomax,Mitchell,Smith,28,26,21,4,19,25,20,28,-8.3,0.2,-8.1,-6.5,-1.6
1985,NFL,St. Louis Cardinals,5,11,0,5th of 5,,278,414,-136,Hanifan,Mitchell,Lomax,Mitchell,Tilley,27,17,24,15,22,25,19,28,-8.5,-1.6,-10.1,-4.5,-5.6
1984,NFL,St. Louis Cardinals,9,7,0,3rd of 5,,423,345,78,Hanifan,Lomax,Lomax,Anderson,Green,4,3,17,8,17,8,3,28,4.9,0.5,5.4,6.2,-0.9
1983,NFL,St. Louis Cardinals,8,7,1,3rd of 5,,374,428,-54,Hanifan,Anderson,Lomax,Anderson,Green,9,17,25,6,15,21,15,28,-3.4,2.3,-1.1,2.5,-3.6
1982,NFL,St. Louis Cardinals*,5,4,0,3rd of 5,Lost WC,135,170,-35,Hanifan,Greer,Lomax,Anderson,Tilley,25,23,12,14,16,23,22,28,-3.9,1.2,-2.7,-4.1,1.4
1981,NFL,St. Louis Cardinals,7,9,0,5th of 5,,315,408,-93,Hanifan,Anderson,Hart,Anderson,Tilley,18,19,27,23,20,25,24,28,-5.8,1.1,-4.7,0.1,-4.8
1980,NFL,St. Louis Cardinals,5,11,0,4th of 5,,299,350,-51,Hanifan,Anderson,Hart,Anderson,Tilley,19,22,21,19,17,20,19,28,-3.2,0.8,-2.4,-1.7,-0.7
1979,NFL,St. Louis Cardinals,5,11,0,5th of 5,,307,358,-51,WilkinsonWilson,Anderson,Hart,Anderson,Tilley,17,10,21,16,21,20,13,28,-3.2,0.4,-2.7,-0.7,-2.0
1978,NFL,St. Louis Cardinals,6,10,0,4th of 5,,248,296,-48,Wilkinson,Dierdorf,Hart,Otis,Tilley,23,7,15,13,7,23,7,28,-3.0,0.5,-2.5,-2.6,0.0
1977,NFL,St. Louis Cardinals,7,7,0,3rd of 5,,272,287,-15,Coryell,Metcalf,Hart,Metcalf,Gray,11,7,23,24,19,18,15,28,-1.1,-0.3,-1.4,2.6,-4.0
1976,NFL,St. Louis Cardinals,10,4,0,3rd of 5,,309,267,42,Coryell,Banks,Hart,Otis,Harris,8,3,16,12,14,12,6,28,3.0,-0.4,2.6,3.5,-1.0
1975,NFL,St. Louis Cardinals*,11,3,0,1st of 5,Lost Div,356,276,80,Coryell,Wehrli,Hart,Otis,Gray,7,5,11,18,16,9,10,26,5.7,-2.2,3.5,3.4,0.1
