,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2008,NFL,Washington Redskins,8,8,0,4th of 4,,265,296,-31,Zorn,Portis,Campbell,Portis,Moss,28,19,6,4,17,22,12,32,-1.9,0.2,-1.8,-5.8,4.1
2007,NFL,Washington Redskins*,9,7,0,3rd of 4,Lost WC,334,310,24,Gibbs,Portis,Campbell,Portis,Moss,18,15,11,8,21,12,9,32,1.5,3.0,4.5,0.2,4.3
2006,NFL,Washington Redskins,5,11,0,4th of 4,,307,376,-69,Gibbs,Betts,Brunell,Betts,Moss,20,13,27,31,23,24,23,32,-4.3,0.3,-4.0,-2.1,-2.0
2005,NFL,Washington Redskins*,10,6,0,2nd of 4,Lost Div,359,293,66,Gibbs,Moss,Brunell,Portis,Moss,13,11,9,9,14,11,9,32,4.1,1.9,6.0,2.6,3.4
2004,NFL,Washington Redskins,6,10,0,4th of 4,,240,265,-25,Gibbs,Washington,Ramsey,Portis,Coles,31,30,5,3,20,19,14,32,-1.6,-1.8,-3.4,-7.4,4.0
2003,NFL,Washington Redskins,5,11,0,3rd of 4,,287,372,-85,Spurrier,Arrington,Ramsey,Canidate,Coles,22,23,24,25,10,25,27,32,-5.3,-0.4,-5.7,-1.9,-3.8
2002,NFL,Washington Redskins,7,9,0,3rd of 4,,307,365,-58,Spurrier,Arrington,Ramsey,Davis,Gardner,25,20,21,5,29,26,14,32,-3.6,-0.8,-4.5,-2.2,-2.2
2001,NFL,Washington Redskins,8,8,0,2nd of 5,,256,303,-47,Schottenheimer,Arrington,Banks,Davis,Gardner,28,28,13,10,11,20,23,31,-2.9,-0.7,-3.7,-4.0,0.4
2000,NFL,Washington Redskins,8,8,0,3rd of 5,,281,269,12,TurnerRobiskie,Bailey,Johnson,Davis,Connell,24,11,7,4,16,16,6,31,0.8,0.2,1.0,-2.9,3.8
1999,NFL,Washington Redskins*,10,6,0,1st of 5,Lost Div,443,377,66,Turner,Johnson,Johnson,Davis,Westbrook,2,2,24,30,4,8,11,31,4.1,-1.3,2.9,6.8,-3.9
1998,NFL,Washington Redskins,6,10,0,4th of 5,,319,421,-102,Turner,Green,Green,Allen,Westbrook,17,15,28,24,24,27,19,30,-6.4,-1.1,-7.5,-1.5,-6.0
1997,NFL,Washington Redskins,8,7,1,2nd of 5,,327,289,38,Turner,Dishman,Frerotte,Allen,Shepherd,15,16,8,16,14,11,13,30,2.4,-1.1,1.3,-0.6,1.8
